scenario,Total_Time,Time_Script,Time_Image,Time_Voice,Time_Video,Problem Size,Predicted Problem Size,setting,Script
79,67.65,7.3,21.99,8.11,2.05,disaster,disaster,basketball,"Liam was playing basketball with friends when a massive storm hit, causing the gym roof to collapse.Everyone rushed outside, but Liam noticed a friend, Alex, was missing and still inside.He could hear the groaning of the collapsing building, worrying about Alex's safety.Emergency crews arrived, but it would take time to ensure everyone was safe.Liam asked himself, ""How big is this problem?"""
80,58.78,6.49,20.81,7.97,2.02,disaster,disaster,curling,"Alex, a 12-year-old, was at a curling competition when a fire broke out in the arena.The fire alarm blared loudly, causing panic among the spectators and competitors.Flames quickly spread, and the smoke made it hard to see and breathe.Alex realized that some exits were blocked, making evacuation difficult.He thought to himself, ""How big is this problem?"""
81,66.83,10.51,21.25,8.89,2.35,disaster,bummer,after school club,"Liam, a 17-year-old, was at his after-school club when a loud alarm suddenly blared.The teacher announced that there was a fire in the school's kitchen, and everyone needed to evacuate immediately.As they moved outside, Liam realized his backpack, with his wallet and important project work, was left inside the building.The fire department arrived swiftly, but the damage to the building was extensive despite their efforts.Standing outside with classmates, Liam thought to himself, ""How big is this problem?"""
82,66.58,5.3,21.39,8.36,2.45,disaster,disaster,dancing,"Emily was practicing for her debut ballet performance when their house was suddenly struck by a severe fire.The fire spread quickly, causing everyone to evacuate, leaving Emily's dance costume and equipment inside.Emily watched helplessly as the firefighters battled the flames, unsure if anything could be saved.There was no quick fix to this situation, and Emily realized that rebuilding would take a long time.As she stood there, she found herself asking, ""How big is this problem?"""
83,63.33,7.4,19.91,9.35,2.4,disaster,disaster,tryout,"Emily, a 15-year-old girl, was getting ready for her piano competition when she noticed smoke coming from her neighbor's house.Fearing a fire could spread, Emily called for her parents and they quickly evacuated their home.Despite the fire department's quick arrival, the damage was extensive, and Emily's family's belongings were at risk of being lost.Emily's piano, an important part of her life, was still inside, and the uncertainty of its fate troubled her deeply.As she stood with her family, Emily asked herself, 'How big is this problem?'"
84,78.37,10.48,26.07,9.4,2.75,disaster,disaster,lacrosse,"In an unexpected turn of events, the lacrosse team, including 15-year-old Alex, found themselves trapped as a severe storm hit during practice.The storm intensified quickly, turning the field into a dangerous area with fast-rising water and lightning striking nearby.The coach, unable to reach anyone for immediate rescue, hurriedly directed the team to take shelter in the nearby clubhouse.Despite the coach's efforts, the situation seemed dire without immediate help forthcoming and the safety of the team was in question as the storm raged on.Alex asked himself, ""How big is this problem?"""
85,68.75,7.36,20.26,8.58,1.94,disaster,disaster,art,"Jamie was at the art gallery with his family when a massive earthquake suddenly hit.The building shook violently, and pieces of plaster from the ceiling began to fall.Everyone started to panic and rush towards the exits to find a safe place.Jamie could hear glass shattering and alarms going off around him.As he stood amidst the chaos, Jamie asked himself, ""How big is this problem?"""
86,67.38,6.2,23.37,8.1,2.04,disaster,disaster,after school club,"Emma was at the after school club when they heard the loud crackle of flames nearby.Everyone quickly realized it was the building next door that had caught fire.The teachers hurried to evacuate everyone safely, urging the children to stay calm.Emma felt her heart race, worried about her friends and what might happen next.Standing outside, Emma asked herself, 'How big is this problem?'"
87,73.26,8.86,19.18,8.16,2.45,disaster,bummer,birthday party,"Emma was excited as her 10th birthday party started, but suddenly, the sprinklers in the hall went off.Water began flooding the room, soaking everything from the birthday cake to the presents.The guests quickly ran outside, and Emma’s dad called for help, but the damage was already significant.The party was ruined, and it would take a lot of help and time to recover what was lost.Emma sat on a bench, trying to understand everything, asking herself, ""How big is this problem?"""
88,65.85,8.24,20.05,8.17,2.08,disaster,disaster,birthday party,"Sarah was excited for her birthday party when a sudden storm hit their town, causing a major flood.The waters began to rise quickly, making it unsafe for anyone to leave or enter the house.Her party was cancelled, and her family had to move to the attic to stay dry.There was no quick solution, and they could only wait for help from emergency services.Sarah wondered to herself, ""How big is this problem?"""
89,54.74,3.68,19.86,8.35,1.84,disaster,disaster,ski,"Emily was skiing with her family when a sudden avalanche hit the trail.The snow quickly covered the path and separated her from her parents.She found herself alone and was unsure of how to get to safety.There was no immediate way to contact her family due to poor signal and heavy snow.Emily thought to herself, 'How big is this problem?'"
90,63.84,5.73,24.08,8.32,2.1,disaster,disaster,tryout,"In the middle of Lucas's soccer tryouts, a sudden storm causes severe flooding in his town.The flooding gets worse, reaching homes and threatening the safety of his family.Lucas and his family are evacuated to a nearby shelter with many others.There is no quick fix as the floodwaters continue to rise, causing damage and uncertainty.Sitting in the shelter, Lucas wonders aloud, ""How big is this problem?"""
91,66.13,8.28,20.88,9.02,2.68,disaster,disaster,soccer,"Sam, a 15-year-old boy, was playing soccer at the local community park when a powerful storm suddenly hit the area.The wind picked up drastically, bending the goalposts and sending debris flying across the field.Caught in the chaos, Sam heard a loud crash and realized a tree had fallen, blocking the only exit and threatening nearby players.Thankfully, an adult quickly ushered everyone to a safer area, but Sam was terrified thinking about his friends’ safety and the blocked escape path.As he looked around at the chaos, Sam asked himself, ""How big is this problem?"""
92,68.42,6.05,21.64,8.55,2.33,disaster,disaster,art,"Alex, a 16-year-old artist, was at the annual art exhibition when the gallery suddenly caught fire.The fire quickly spread, threatening the entire building and all the art within it, including Alex's prized painting.The damage was extensive, with much of the artwork inside burnt or destroyed, making recovery seem daunting.Emergency responders arrived, but it was clear that the recovery and loss were significant for all artists involved.Standing outside, Alex wondered, ""How big is this problem?"""
93,70.54,6.38,24.86,8.15,2.16,disaster,disaster,soccer,"Emma was eagerly participating in a soccer game at her local park when she heard a loud thunderclap.Suddenly, a lightning strike caused a nearby tree to catch fire, sending everyone into panic.The coach quickly gathered the team and moved them to a safe area, but the fire spread quickly.Firefighters arrived on the scene, but the damage was already significant, affecting nearby homes.Emma looked at the chaotic scene and thought, 'How big is this problem?'"
94,69.16,6.57,22.71,8.53,2.59,disaster,disaster,swimming,"It was a sunny afternoon when 10-year-old Mia was enjoying a refreshing swim at the community pool with her friends.Suddenly, a loud alarm blared, and lifeguards started instructing everyone to evacuate immediately due to an unseen electrical issue affecting pool safety.In the chaos, Mia realized her younger brother, Leo, was still in the water, unnoticed by the rushing crowd.Panicked, Mia’s heart raced as she called out to him, hoping he would hear her over the noise.Mia whispered to herself, ""How big is this problem?"""
95,69.43,7.17,21.84,8.86,1.92,disaster,disaster,birthday party,"Emily was excitedly setting up balloons for her birthday party at home.Suddenly, she heard a loud crash and ran to the kitchen to find smoke everywhere.Her mom explained that a fire had started in the oven, making the house unsafe.With the fire department on the way, Emily wondered about her ruined birthday and home.She asked herself quietly, 'How big is this problem?'"
96,66.78,6.2,20.29,9.13,2.63,disaster,disaster,curling,"Jenna, a 16-year-old curling enthusiast, was practicing with her team when a loud crash came from the club's main entrance.Rushing to the entrance, they found that a massive snowstorm had taken down a large power line, causing a fire.The fire spread quickly, threatening to destroy valuable equipment and potentially causing harm to anyone nearby.Emergency services were called, but it was unclear how long it would take to get the situation under control safely.Jenna stood back, taking deep breaths, and asked herself, ""How big is this problem?"""
97,77.86,8.23,21.18,8.27,2.36,disaster,bummer,volleyball,"Sophie was playing volleyball at the beach when a sudden storm hit, making the waves dangerously high.The strong winds knocked over the volleyball net and scattered their belongings across the sand.Her phone, which was lying on the towel, got swept away by the tide and disappeared under the water.Everyone rushed to safety, but Sophie worried about her lost phone and the expensive things inside her wet bag.Sophie asked herself, ""How big is this problem?"""
98,64.79,6.18,21.45,8.37,2.21,disaster,disaster,class,"In a small town, an unexpected flood hits the local school, leaving it severely damaged.Emily, a 12-year-old girl, hears that the flood has destroyed classrooms, books, and supplies.The school announces an indefinite closure while repairs are made.Emily wonders about her friends and the upcoming exams, feeling scared about the uncertainty.Emily quietly asks herself, ""How big is this problem?"""
99,62.77,7.74,21.4,8.01,2.19,disaster,disaster,volleyball,"Liam was excited as he entered the large volleyball stadium, buzzing with energy for the championship game.Suddenly, an unexpected storm caused a power outage, leaving everyone in complete darkness.In the chaos, panic spread as emergency exits became congested with confused fans trying to leave.Liam's heart raced as he worried about finding his friends and making it home safely.He thought to himself, 'How big is this problem?'"
100,63.28,7.73,22.71,8.13,2.01,disaster,disaster,after school club,"Jamal, a 12-year-old boy, was excited for the science experiment at his after-school club.Suddenly, a loud explosion startled everyone as a fire broke out in the lab.The alarm rang, and teachers rushed to evacuate the students safely.Thankfully, no one was hurt, but the lab was badly damaged.Jamal asked himself, ""How big is this problem?"""
