scenario,Image_Tool,Total_Time,Time_Script,Time_Image,Time_Voice,Time_Video,Problem Size,Predicted Problem Size,setting,Script,Image Path
33,DallE3,61.02,6.72,20.28,4.90,7.79,glitch,glitch,soccer,"Emily was warming up for her soccer game when she realized she left her favorite lucky socks at home.Her friend, Mia, quickly offered an extra pair she had, which cheered Emily up.Emily knew the different socks wouldn’t affect her playing skills, just her mood.The game would go on just as planned, and she reminded herself it was just a small glitch.""How big is this problem?"" she wondered, realizing the socks weren’t such a big deal.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_33_DallE3.png
33,GPTimage,68.52,6.72,21.34,9.34,2.05,glitch,glitch,soccer,"Emily was warming up for her soccer game when she realized she left her favorite lucky socks at home.Her friend, Mia, quickly offered an extra pair she had, which cheered Emily up.Emily knew the different socks wouldn’t affect her playing skills, just her mood.The game would go on just as planned, and she reminded herself it was just a small glitch.""How big is this problem?"" she wondered, realizing the socks weren’t such a big deal.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_33_GPTimage.png
34,DallE3,63.19,6.96,21.75,4.30,9.04,glitch,bummer,basketball,"Jamie, a 10-year-old boy, arrives at the basketball court excited for practice.He realizes he forgot to bring his basketball shoes and is only wearing his regular sneakers.Fortunately, his coach has an extra pair that is a bit big, but manageable for the session.Jamie wonders if this small mishap will affect his performance today.He asks himself, 'How big is this problem?' knowing he'll still be able to play.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_34_DallE3.png
34,GPTimage,71.17,6.96,21.14,8.94,2.21,glitch,bummer,basketball,"Jamie, a 10-year-old boy, arrives at the basketball court excited for practice.He realizes he forgot to bring his basketball shoes and is only wearing his regular sneakers.Fortunately, his coach has an extra pair that is a bit big, but manageable for the session.Jamie wonders if this small mishap will affect his performance today.He asks himself, 'How big is this problem?' knowing he'll still be able to play.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_34_GPTimage.png
35,DallE3,56.48,9.01,14.64,4.21,7.12,glitch,glitch,curling,"Alex stepped onto the curling rink, ready for a friendly match with his team.As the game started, he realized he had accidentally brought the wrong curling broom.Luckily, his teammate had a spare broom that he could use for the game.Alex was relieved because he could still play without any issues.He thought to himself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_35_DallE3.png
35,GPTimage,63.50,9.01,21.49,8.37,1.87,glitch,glitch,curling,"Alex stepped onto the curling rink, ready for a friendly match with his team.As the game started, he realized he had accidentally brought the wrong curling broom.Luckily, his teammate had a spare broom that he could use for the game.Alex was relieved because he could still play without any issues.He thought to himself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_35_GPTimage.png
36,DallE3,55.12,4.59,19.50,4.22,7.08,glitch,glitch,swimming,"In the middle of practice, Emma realizes she forgot her swim cap, which keeps her hair out of her face.Luckily, her coach has a spare cap she can borrow for today's session.Emma feels relieved and quickly puts on the cap to join her teammates.With the cap, Emma swims comfortably, knowing she'll be just fine.Emma wonders, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_36_DallE3.png
36,GPTimage,62.57,4.59,19.72,8.76,1.91,glitch,glitch,swimming,"In the middle of practice, Emma realizes she forgot her swim cap, which keeps her hair out of her face.Luckily, her coach has a spare cap she can borrow for today's session.Emma feels relieved and quickly puts on the cap to join her teammates.With the cap, Emma swims comfortably, knowing she'll be just fine.Emma wonders, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_36_GPTimage.png
37,DallE3,57.23,4.23,15.79,4.59,7.22,glitch,glitch,class,"Sam, a 10-year-old student, arrives at class only to realize he forgot his favorite pen for note-taking.He quickly checks his backpack and finds another pen, albeit not his favorite one.Sam feels a bit uneasy but knows he can still take notes with the backup pen.The impact is minor, as he can continue with the class smoothly.Sam wonders to himself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_37_DallE3.png
37,GPTimage,64.59,4.23,25.42,8.93,2.00,glitch,glitch,class,"Sam, a 10-year-old student, arrives at class only to realize he forgot his favorite pen for note-taking.He quickly checks his backpack and finds another pen, albeit not his favorite one.Sam feels a bit uneasy but knows he can still take notes with the backup pen.The impact is minor, as he can continue with the class smoothly.Sam wonders to himself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_37_GPTimage.png
38,DallE3,64.44,6.26,26.62,3.73,5.91,glitch,glitch,singing,"Emily, who loves singing, is preparing to perform at her school talent show.Just before her turn, she realizes her CD with the music track is missing.Thankfully, her friend has a music app on their phone with the same backing track.Emily feels relieved but wonders how big this problem really is.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_38_DallE3.png
38,GPTimage,70.50,6.26,21.91,7.14,1.61,glitch,bummer,singing,"Emily, who loves singing, is preparing to perform at her school talent show.Just before her turn, she realizes her CD with the music track is missing.Thankfully, her friend has a music app on their phone with the same backing track.Emily feels relieved but wonders how big this problem really is.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_38_GPTimage.png
39,DallE3,59.27,6.42,14.70,4.39,7.91,glitch,glitch,tennis,"Sam, a 10-year-old boy, was getting ready for his first tennis match of the season.As he opened his bag, he realized he forgot his favorite tennis racket at home.Luckily, his coach had a spare racket that Sam could use for the match.Sam knew that using a different racket might feel a bit strange but wouldn't affect his overall performance.He asked himself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_39_DallE3.png
39,GPTimage,66.76,6.42,25.85,8.69,2.07,glitch,glitch,tennis,"Sam, a 10-year-old boy, was getting ready for his first tennis match of the season.As he opened his bag, he realized he forgot his favorite tennis racket at home.Luckily, his coach had a spare racket that Sam could use for the match.Sam knew that using a different racket might feel a bit strange but wouldn't affect his overall performance.He asked himself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_39_GPTimage.png
40,DallE3,65.27,5.00,19.09,4.31,7.11,glitch,glitch,art,"Emma was painting in art class when she realized she brought the wrong set of brushes.She couldn't find the fine brush needed for the details on her painting.Luckily, her friend offered to share a brush that would work just fine.The art project could be completed without any major issues.Emma thought to herself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_40_DallE3.png
40,GPTimage,72.66,5.00,29.76,8.87,1.82,glitch,glitch,art,"Emma was painting in art class when she realized she brought the wrong set of brushes.She couldn't find the fine brush needed for the details on her painting.Luckily, her friend offered to share a brush that would work just fine.The art project could be completed without any major issues.Emma thought to herself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_40_GPTimage.png
41,DallE3,63.15,6.46,25.55,4.19,7.55,glitch,glitch,singing,"Jamie, a 12-year-old girl, is excited about singing at the school's talent show.Just before her turn, Jamie realizes she left her song lyrics in the classroom.Feeling a bit worried, she remembers she knows most of the song by heart.It will only take her a minute to run and fetch the lyrics, or she can sing from memory if needed.Jamie asks herself, 'How big is this problem?'",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_41_DallE3.png
41,GPTimage,70.61,6.46,19.40,8.49,2.03,glitch,bummer,singing,"Jamie, a 12-year-old girl, is excited about singing at the school's talent show.Just before her turn, Jamie realizes she left her song lyrics in the classroom.Feeling a bit worried, she remembers she knows most of the song by heart.It will only take her a minute to run and fetch the lyrics, or she can sing from memory if needed.Jamie asks herself, 'How big is this problem?'",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_41_GPTimage.png
42,DallE3,57.96,7.04,18.77,4.74,7.26,glitch,bummer,singing,"Alex, a 7-year-old, is excited to sing a solo at the school talent show.Just as he's about to go on stage, his music sheet slips from his hand, falling to the ground.Luckily, his teacher quickly picks it up and hands it back to him with a reassuring smile.Alex feels a momentary panic, but then realizes the show can continue smoothly.He asks himself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_42_DallE3.png
42,GPTimage,65.74,7.04,20.14,9.32,2.18,glitch,glitch,singing,"Alex, a 7-year-old, is excited to sing a solo at the school talent show.Just as he's about to go on stage, his music sheet slips from his hand, falling to the ground.Luckily, his teacher quickly picks it up and hands it back to him with a reassuring smile.Alex feels a momentary panic, but then realizes the show can continue smoothly.He asks himself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_42_GPTimage.png
43,DallE3,60.60,5.90,21.50,4.64,7.26,glitch,glitch,class,"Alex, a 10-year-old boy, walked into his classroom, ready for the math quiz.As he sat down, he realized he had forgotten his favorite pencil at home.Luckily, he remembered he had another pencil in his backpack.The substitute pencil worked just as well, and he started his quiz without any trouble.Alex thought to himself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_43_DallE3.png
43,GPTimage,67.99,5.90,21.30,9.02,1.96,glitch,glitch,class,"Alex, a 10-year-old boy, walked into his classroom, ready for the math quiz.As he sat down, he realized he had forgotten his favorite pencil at home.Luckily, he remembered he had another pencil in his backpack.The substitute pencil worked just as well, and he started his quiz without any trouble.Alex thought to himself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_43_GPTimage.png
44,DallE3,56.96,7.85,16.00,4.59,7.56,glitch,glitch,singing,"Liam is excited to sing at his school's talent show, but suddenly realizes he forgot his lucky bow tie at home.He quickly remembers his friend has a spare bow tie that he can use.Although it's not the same, Liam knows it won't affect his performance much.He tells himself that a forgotten bow tie is just a small, fixable glitch.Liam asks himself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_44_DallE3.png
44,GPTimage,64.50,7.85,20.96,8.90,2.12,glitch,glitch,singing,"Liam is excited to sing at his school's talent show, but suddenly realizes he forgot his lucky bow tie at home.He quickly remembers his friend has a spare bow tie that he can use.Although it's not the same, Liam knows it won't affect his performance much.He tells himself that a forgotten bow tie is just a small, fixable glitch.Liam asks himself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_44_GPTimage.png
45,DallE3,60.71,6.53,18.70,4.21,7.31,glitch,glitch,tryout,"Lily was getting ready for her soccer tryouts at the local park.She realized she had forgotten her lucky headband at home.Thankfully, her friend Mia offered her a spare one from her bag.Lily accepted it with a smile and felt ready to play.""How big is this problem?"" she wondered with a giggle.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_45_DallE3.png
45,GPTimage,67.97,6.53,23.96,8.73,1.69,glitch,glitch,tryout,"Lily was getting ready for her soccer tryouts at the local park.She realized she had forgotten her lucky headband at home.Thankfully, her friend Mia offered her a spare one from her bag.Lily accepted it with a smile and felt ready to play.""How big is this problem?"" she wondered with a giggle.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_45_GPTimage.png
46,DallE3,55.55,7.07,17.12,4.36,7.16,glitch,glitch,art,"Emily is in art class about to start painting, but she realizes she's forgotten her favorite brush.After a quick search, she finds a different brush in her art box that she can use.The brush isn't quite the same, but it will do for today’s painting.Emily feels a bit disappointed but knows she can still finish the project with what she has.She wonders, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_46_DallE3.png
46,GPTimage,62.94,7.07,19.84,8.77,1.95,glitch,glitch,art,"Emily is in art class about to start painting, but she realizes she's forgotten her favorite brush.After a quick search, she finds a different brush in her art box that she can use.The brush isn't quite the same, but it will do for today’s painting.Emily feels a bit disappointed but knows she can still finish the project with what she has.She wonders, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_46_GPTimage.png
47,DallE3,60.59,7.42,18.64,4.11,7.60,glitch,glitch,singing,"Jamie, a 7-year-old boy, is getting ready for his school's singing practice in the music room.He realizes he forgot his sheet music at home, just as the teacher starts calling for everyone to get ready.Luckily, his friend Katie has an extra copy and offers to share it with him.Jamie smiles, knowing he can still practice without any issues.He thinks to himself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_47_DallE3.png
47,GPTimage,67.92,7.42,22.83,8.46,2.01,glitch,glitch,singing,"Jamie, a 7-year-old boy, is getting ready for his school's singing practice in the music room.He realizes he forgot his sheet music at home, just as the teacher starts calling for everyone to get ready.Luckily, his friend Katie has an extra copy and offers to share it with him.Jamie smiles, knowing he can still practice without any issues.He thinks to himself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_47_GPTimage.png
48,DallE3,65.30,13.61,20.34,4.26,7.60,glitch,glitch,tennis,"Sam, a 10-year-old boy, is playing in a local tennis tournament at the community center.As he steps onto the court, Sam realizes he's forgotten his lucky tennis racket at home.Fortunately, his coach offers him a backup racket that feels a bit different but is perfectly usable.Sam wonders if this will affect his game, but he knows he can adjust quickly.""How big is this problem?"" Sam asks himself, realizing it's just a small glitch.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_48_DallE3.png
48,GPTimage,73.09,13.61,19.49,8.70,2.24,glitch,glitch,tennis,"Sam, a 10-year-old boy, is playing in a local tennis tournament at the community center.As he steps onto the court, Sam realizes he's forgotten his lucky tennis racket at home.Fortunately, his coach offers him a backup racket that feels a bit different but is perfectly usable.Sam wonders if this will affect his game, but he knows he can adjust quickly.""How big is this problem?"" Sam asks himself, realizing it's just a small glitch.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_48_GPTimage.png
49,DallE3,61.16,6.57,20.37,4.33,6.96,glitch,glitch,basketball,"Liam eagerly packs his basketball gear for the big game after school.On the way to the court, he realizes he forgot his favorite water bottle at home.His friend offers him an extra bottle, so he won't have to play thirsty.The game goes on as planned, and Liam manages just fine.Liam asks himself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_49_DallE3.png
49,GPTimage,68.31,6.57,22.94,8.67,1.76,glitch,bummer,basketball,"Liam eagerly packs his basketball gear for the big game after school.On the way to the court, he realizes he forgot his favorite water bottle at home.His friend offers him an extra bottle, so he won't have to play thirsty.The game goes on as planned, and Liam manages just fine.Liam asks himself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_49_GPTimage.png
50,DallE3,63.72,7.18,25.19,4.56,7.04,glitch,bummer,lacrosse,"Ella, a 10-year-old, arrives at her lacrosse game, realizing she forgot her favorite stick at home.Her friend offers her a spare stick to use for the game.Though it's not as comfortable as her own, it works just fine for the match.The impact is minor and won't last beyond today.Ella thinks to herself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_50_DallE3.png
50,GPTimage,71.23,7.18,19.77,9.11,1.93,glitch,glitch,lacrosse,"Ella, a 10-year-old, arrives at her lacrosse game, realizing she forgot her favorite stick at home.Her friend offers her a spare stick to use for the game.Though it's not as comfortable as her own, it works just fine for the match.The impact is minor and won't last beyond today.Ella thinks to herself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_50_GPTimage.png
51,DallE3,57.49,5.48,17.79,3.91,7.14,glitch,glitch,class,"Lena was excited to present her science project in class today.As she opened her backpack, she realized she forgot her presentation notes at home.Thankfully, she remembered everything she'd written and decided to present without them.The teacher smiled and nodded, showing support for Lena's effort.Lena thought to herself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_51_DallE3.png
51,GPTimage,64.22,5.48,23.18,7.67,1.97,glitch,bummer,class,"Lena was excited to present her science project in class today.As she opened her backpack, she realized she forgot her presentation notes at home.Thankfully, she remembered everything she'd written and decided to present without them.The teacher smiled and nodded, showing support for Lena's effort.Lena thought to herself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_51_GPTimage.png
52,DallE3,55.95,6.28,19.22,3.97,7.61,glitch,glitch,swimming,"Ella, a 10-year-old girl, arrives at the swimming pool for her practice but realizes she forgot her swim cap.She checks her bag and finds an extra swim cap she forgot about earlier.While not her favorite, the cap will still keep her hair dry and allow her to practice.The coach assures her that it's perfectly fine to use the cap for practice today.Ella wonders to herself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_52_DallE3.png
52,GPTimage,63.12,6.28,18.87,7.94,2.10,glitch,glitch,swimming,"Ella, a 10-year-old girl, arrives at the swimming pool for her practice but realizes she forgot her swim cap.She checks her bag and finds an extra swim cap she forgot about earlier.While not her favorite, the cap will still keep her hair dry and allow her to practice.The coach assures her that it's perfectly fine to use the cap for practice today.Ella wonders to herself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_52_GPTimage.png
53,DallE3,83.17,36.46,17.85,3.85,6.93,glitch,glitch,vacation,"Emily was excited for her family vacation to the beach.On the way, Emily realized she had forgotten her favorite hat at home.Luckily, her mom packed an extra hat for her, so Emily could still enjoy her time at the beach.The hat was different, but Emily thought it was pretty too.""How big is this problem?"" Emily wondered, as she laughed with her family.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_53_DallE3.png
53,GPTimage,89.87,36.46,18.08,7.66,1.87,glitch,glitch,vacation,"Emily was excited for her family vacation to the beach.On the way, Emily realized she had forgotten her favorite hat at home.Luckily, her mom packed an extra hat for her, so Emily could still enjoy her time at the beach.The hat was different, but Emily thought it was pretty too.""How big is this problem?"" Emily wondered, as she laughed with her family.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_53_GPTimage.png
54,DallE3,53.38,5.56,18.22,4.01,7.37,glitch,glitch,soccer,"Max, a 10-year-old boy, has a soccer match at his school.He realizes that he forgot his lucky headband at home, which he always wears during games.Luckily, his friend offers him a backup headband, so he's still able to play.Max feels a bit nervous but knows the show must go on without his favorite accessory.As he stands on the field, he wonders, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_54_DallE3.png
54,GPTimage,60.17,5.56,18.21,7.75,2.04,glitch,glitch,soccer,"Max, a 10-year-old boy, has a soccer match at his school.He realizes that he forgot his lucky headband at home, which he always wears during games.Luckily, his friend offers him a backup headband, so he's still able to play.Max feels a bit nervous but knows the show must go on without his favorite accessory.As he stands on the field, he wonders, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_54_GPTimage.png
55,DallE3,64.43,11.75,20.37,3.77,8.03,glitch,glitch,ski,"Liam, a 10-year-old boy, is excited to hit the slopes for his first skiing lesson.At the ski lodge, he realizes he forgot his ski gloves at home.His mother quickly suggests he can use an extra pair they brought along.Liam feels relieved and knows he can enjoy his lesson without any issues.He asks himself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_55_DallE3.png
55,GPTimage,71.73,11.75,20.51,7.86,2.02,glitch,glitch,ski,"Liam, a 10-year-old boy, is excited to hit the slopes for his first skiing lesson.At the ski lodge, he realizes he forgot his ski gloves at home.His mother quickly suggests he can use an extra pair they brought along.Liam feels relieved and knows he can enjoy his lesson without any issues.He asks himself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_55_GPTimage.png
56,DallE3,55.94,5.04,17.85,4.01,7.67,glitch,glitch,playing video game,"Jamie was playing his favorite video game when suddenly, the screen froze.He tried pressing buttons, but nothing worked, sparking a bit of frustration.Realizing the problem wasn't going away immediately, he decided to restart the game.After restarting, the game loaded normally, and Jamie was back to playing.Jamie thought to himself, 'How big is this problem?'",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_56_DallE3.png
56,GPTimage,62.70,5.04,21.36,7.72,1.94,glitch,glitch,playing video game,"Jamie was playing his favorite video game when suddenly, the screen froze.He tried pressing buttons, but nothing worked, sparking a bit of frustration.Realizing the problem wasn't going away immediately, he decided to restart the game.After restarting, the game loaded normally, and Jamie was back to playing.Jamie thought to himself, 'How big is this problem?'",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_56_GPTimage.png
57,DallE3,56.87,6.09,19.38,3.73,7.61,glitch,glitch,tryout,"Jake was excited for soccer tryouts at the school field, but realized he left his favorite jersey at home.He quickly noticed his friend Sam had an extra jersey in his bag.Jake put on the borrowed jersey and joined the practice with relief.He was able to focus and play well, knowing the jersey problem was just a glitch.Jake thought to himself, 'How big is this problem?'",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_57_DallE3.png
57,GPTimage,63.74,6.09,20.05,7.52,2.00,glitch,glitch,tryout,"Jake was excited for soccer tryouts at the school field, but realized he left his favorite jersey at home.He quickly noticed his friend Sam had an extra jersey in his bag.Jake put on the borrowed jersey and joined the practice with relief.He was able to focus and play well, knowing the jersey problem was just a glitch.Jake thought to himself, 'How big is this problem?'",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_57_GPTimage.png
58,DallE3,55.57,4.73,17.68,3.99,7.55,glitch,glitch,field trip,"Ethan was excited for the school field trip to the museum, but he realized he forgot his favorite red cap at home.Luckily, one of his friends had an extra cap to lend him for the day.Ethan felt relieved because he could still enjoy the trip without the sun bothering him too much.He considered how small this problem was now that it was quickly fixed.Ethan asked himself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_58_DallE3.png
58,GPTimage,62.54,4.73,21.62,7.76,2.11,glitch,glitch,field trip,"Ethan was excited for the school field trip to the museum, but he realized he forgot his favorite red cap at home.Luckily, one of his friends had an extra cap to lend him for the day.Ethan felt relieved because he could still enjoy the trip without the sun bothering him too much.He considered how small this problem was now that it was quickly fixed.Ethan asked himself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_58_GPTimage.png
59,DallE3,58.44,8.24,17.91,3.91,7.48,glitch,glitch,soccer,"In a sunny park, 7-year-old Lily is excited to play soccer with her friends.As the game starts, she realizes she brought the wrong soccer shoes and they're too loose.Her friend offers spare laces, so she can still join the game.Lily is relieved as she quickly tightens her shoes and runs back to play.She wonders to herself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_59_DallE3.png
59,GPTimage,65.32,8.24,20.90,7.81,1.88,glitch,glitch,soccer,"In a sunny park, 7-year-old Lily is excited to play soccer with her friends.As the game starts, she realizes she brought the wrong soccer shoes and they're too loose.Her friend offers spare laces, so she can still join the game.Lily is relieved as she quickly tightens her shoes and runs back to play.She wonders to herself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_59_GPTimage.png
60,DallE3,52.91,4.46,18.57,3.83,7.44,glitch,glitch,art,"Emily, a 9-year-old girl, was painting at her school art class.She accidentally knocked over her water cup, spilling over her painting.Luckily, her art teacher quickly brought over paper towels to help clean the mess.The painting was slightly wet but could be fixed with a bit of paint touch-up.Emily looked at her artwork and thought, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_60_DallE3.png
60,GPTimage,59.67,4.46,18.60,7.60,1.91,glitch,glitch,art,"Emily, a 9-year-old girl, was painting at her school art class.She accidentally knocked over her water cup, spilling over her painting.Luckily, her art teacher quickly brought over paper towels to help clean the mess.The painting was slightly wet but could be fixed with a bit of paint touch-up.Emily looked at her artwork and thought, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_60_GPTimage.png
61,DallE3,59.51,7.77,18.62,3.79,7.70,glitch,glitch,soccer,"Lucas, a 12-year-old boy, arrived at the soccer field for practice, excited to play.He realized he forgot his favorite soccer cleats at home and only had his regular sneakers.Luckily, his coach offered him a spare pair of cleats to use for practice.Although Lucas felt a bit uncomfortable in the new cleats, he was able to join the game and perform well.Lucas thought, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_61_DallE3.png
61,GPTimage,66.41,7.77,21.62,7.58,2.02,glitch,bummer,soccer,"Lucas, a 12-year-old boy, arrived at the soccer field for practice, excited to play.He realized he forgot his favorite soccer cleats at home and only had his regular sneakers.Luckily, his coach offered him a spare pair of cleats to use for practice.Although Lucas felt a bit uncomfortable in the new cleats, he was able to join the game and perform well.Lucas thought, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_61_GPTimage.png
62,DallE3,62.33,10.69,13.73,3.73,7.06,glitch,glitch,running,"Mia was running in the school race, excited and feeling confident.Just as the race was about to start, she realized she'd worn mismatched socks.She knew it wasn't a big deal and decided to just keep going.There was no lasting consequence, so she didn't let it bother her.She asked herself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_62_DallE3.png
62,GPTimage,69.04,10.69,27.12,7.60,1.82,glitch,glitch,running,"Mia was running in the school race, excited and feeling confident.Just as the race was about to start, she realized she'd worn mismatched socks.She knew it wasn't a big deal and decided to just keep going.There was no lasting consequence, so she didn't let it bother her.She asked herself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_62_GPTimage.png
63,DallE3,56.56,8.73,15.41,3.92,8.28,glitch,glitch,birthday party,"Emma, a 10-year-old girl, is at her birthday party with friends in the park when she realizes the cake has the wrong name on it.The cake says 'Emily' instead of 'Emma,' but everything else is perfect with balloons, games, and laughter around.Emma knows they can still enjoy the delicious cake, even if the name isn't right.Her mom gives her a reassuring hug, saying they’ll remember this as a funny story later.Emma wonders, 'How big is this problem?' and realizes it’s just a small glitch in her otherwise perfect day.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_63_DallE3.png
63,GPTimage,63.87,8.73,20.22,7.68,2.46,glitch,glitch,birthday party,"Emma, a 10-year-old girl, is at her birthday party with friends in the park when she realizes the cake has the wrong name on it.The cake says 'Emily' instead of 'Emma,' but everything else is perfect with balloons, games, and laughter around.Emma knows they can still enjoy the delicious cake, even if the name isn't right.Her mom gives her a reassuring hug, saying they’ll remember this as a funny story later.Emma wonders, 'How big is this problem?' and realizes it’s just a small glitch in her otherwise perfect day.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_63_GPTimage.png
64,DallE3,52.81,7.22,13.60,3.76,7.07,glitch,glitch,volleyball,"Liam, a 13-year-old, arrived at volleyball practice and realized he forgot his water bottle.He started feeling thirsty but remembered there was a water fountain nearby.Quickly, he decided to grab a quick drink during a short break.His thirst was satisfied, and he returned to practice feeling fine.Liam wondered, 'How big is this problem?'",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_64_DallE3.png
64,GPTimage,59.65,7.22,21.14,7.76,1.85,glitch,glitch,volleyball,"Liam, a 13-year-old, arrived at volleyball practice and realized he forgot his water bottle.He started feeling thirsty but remembered there was a water fountain nearby.Quickly, he decided to grab a quick drink during a short break.His thirst was satisfied, and he returned to practice feeling fine.Liam wondered, 'How big is this problem?'",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_64_GPTimage.png
65,DallE3,51.93,5.73,12.71,3.72,7.57,glitch,glitch,singing,"In Emily's school choir practice, she suddenly realizes she's forgotten her sheet music at home.She starts to panic a little but remembers the songs are ones they've sung before.Her choir teacher suggests she team up with a friend to share the music.With relief, Emily joins in the singing, realizing she can keep up just fine.Emily thinks to herself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_65_DallE3.png
65,GPTimage,59.06,5.73,22.21,7.85,1.88,glitch,glitch,singing,"In Emily's school choir practice, she suddenly realizes she's forgotten her sheet music at home.She starts to panic a little but remembers the songs are ones they've sung before.Her choir teacher suggests she team up with a friend to share the music.With relief, Emily joins in the singing, realizing she can keep up just fine.Emily thinks to herself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_65_GPTimage.png
